MEMBER_ID,OPTIMIZED_EXPECTED_FINAL_PORTFOLIO_VALUE,OPTIMIZED_MEDIAN_FINAL_PORTFOLIO_VALUE,OPTIMIZED_STANDARD_DEVIATION_OF_FINAL_PORTFOLIO_VALUE,OPTIMIZED_VALUE_AT_RISK,OPTIMIZED_CONDITIONAL_VALUE_AT_RISK,OPTIMIZED_PROBABILITY_OF_LOSS,OPTIMIZED_SHARPE_RATIO
MID000346,"$116,142.44","$113,582.89","$25,803.52",,,14.80%,1.0131
MID000347,"$88,557.75","$86,259.01","$19,383.23",,,14.40%,1.0090
MID000348,"$64,191.97","$62,481.06","$13,843.87",,,14.80%,1.0251
MID000349,"$62,538.53","$61,481.09","$13,149.61",,,16.80%,1.0296
MID000350,"$88,383.86","$86,387.38","$18,224.70",,,13.60%,1.0636
MID000351,"$112,337.88","$107,710.71","$24,839.61",,,15.20%,0.9798
MID000352,"$65,237.06","$63,528.24","$14,072.96",,,12.00%,1.0827
MID000353,"$70,570.10","$68,460.20","$15,581.22",,,14.20%,0.9993
MID000354,"$1,309,366.13","$1,284,495.82","$294,576.37",,,13.60%,1.0502
MID000355,"$103,723.59","$102,189.09","$22,641.01",,,15.40%,1.0478
MID000356,"$6,457.31","$6,365.67","$1,325.23",,,11.60%,1.0997
MID000357,"$14,413.33","$14,147.76","$3,090.86",,,12.40%,1.1043
MID000358,"$13,029.95","$12,730.91","$2,853.20",,,12.40%,1.0619
MID000359,"$13,010.09","$12,703.65","$2,836.58",,,14.40%,1.0612
MID000360,"$71,201.87","$69,000.09","$16,530.37",,,14.40%,0.9801
MID000361,"$1,291,477.11","$1,264,172.91","$273,613.76",,,13.20%,1.0653
MID000362,"$102,645.29","$100,527.93","$22,293.37",,,14.00%,1.0158
MID000363,"$14,169.31","$13,953.47","$3,050.64",,,13.20%,1.0389
MID000364,"$6,457.22","$6,347.79","$1,378.75",,,13.00%,1.0569
MID000365,"$89,855.25","$88,411.60","$18,279.70",,,11.40%,1.1409
MID000366,"$62,253.11","$59,945.87","$13,444.14",,,13.80%,0.9858
MID000367,"$64,267.33","$63,351.18","$13,981.22",,,16.00%,1.0205
MID000368,"$114,241.33","$112,432.06","$23,289.24",,,13.20%,1.1268
MID000369,"$12,959.45","$12,803.02","$2,655.53",,,13.20%,1.1144
MID000370,"$63,835.63","$62,588.55","$14,702.25",,,15.80%,0.9411
MID000371,"$12,671.88","$12,343.21","$2,739.25",,,17.00%,0.9754
MID000372,"$64,800.46","$62,917.64","$14,235.83",,,12.40%,1.0397
MID000373,"$12,968.04","$12,720.71","$2,663.60",,,11.40%,1.1143
MID000374,"$70,468.67","$67,358.63","$15,222.27",,,13.00%,1.0162
MID000375,"$14,360.39","$13,979.94","$3,046.65",,,10.80%,1.1030
MID000376,"$6,437.60","$6,353.57","$1,323.38",,,13.00%,1.0863
MID000377,"$6,424.35","$6,352.37","$1,291.94",,,13.00%,1.1025
MID000378,"$72,225.66","$70,751.40","$15,608.44",,,11.60%,1.1036
MID000379,"$102,631.27","$99,725.60","$20,894.03",,,11.40%,1.0831
MID000380,"$64,977.64","$63,686.53","$13,709.64",,,12.60%,1.0925
MID000381,"$70,909.54","$69,475.26","$15,215.34",,,14.00%,1.0456
MID000382,"$56,422.08","$55,166.12","$11,827.75",,,16.80%,0.9657
MID000383,"$90,122.99","$88,642.85","$19,064.55",,,12.80%,1.1080
MID000384,"$6,559.10","$6,479.96","$1,340.22",,,9.60%,1.1633
MID000385,"$1,268,693.12","$1,236,760.94","$264,633.99",,,13.80%,1.0153
MID000386,"$64,347.57","$62,833.35","$13,956.77",,,15.00%,1.0280
MID000387,"$116,376.36","$112,073.57","$25,007.40",,,13.60%,1.0547
MID000388,"$89,016.12","$86,357.86","$19,150.23",,,14.20%,1.0452
MID000389,"$51,885.24","$50,262.39","$11,488.59",,,12.80%,1.0345
MID000390,"$104,192.70","$101,334.18","$22,199.04",,,12.20%,1.0898
MID000391,"$1,261,316.87","$1,233,151.32","$276,498.53",,,18.20%,0.9451
MID000392,"$103,262.62","$102,451.48","$22,292.81",,,14.40%,1.0435
MID000393,"$52,372.70","$51,517.36","$11,888.43",,,15.40%,1.0407
MID000394,"$103,832.62","$101,536.41","$22,771.24",,,13.20%,1.0466
MID000395,"$51,898.57","$49,874.60","$11,837.02",,,13.00%,1.0052
MID000396,"$64,067.97","$63,677.08","$12,580.90",,,13.60%,1.1182
MID000397,"$63,964.23","$62,981.24","$13,914.74",,,13.40%,1.0036
MID000398,"$57,724.33","$56,514.19","$12,248.69",,,12.40%,1.0388
MID000399,"$6,447.53","$6,390.01","$1,377.71",,,15.20%,1.0507
MID000400,"$115,579.85","$113,317.43","$24,509.15",,,13.00%,1.0437
MID000401,"$122,097.17","$119,696.77","$26,319.48",,,17.40%,0.9536
MID000402,"$1,280.65","$1,251.84",$295.82,,,17.60%,0.9487
MID000403,"$1,270.14","$1,248.97",$261.64,,,14.60%,1.0325
MID000404,"$6,457.59","$6,322.56","$1,352.96",,,14.00%,1.0773
MID000405,"$57,906.52","$56,129.69","$11,882.53",,,12.20%,1.0862
MID000406,"$1,297.98","$1,278.61",$273.57,,,13.80%,1.0892
MID000407,"$1,283.82","$1,257.82",$268.64,,,14.00%,1.0565
MID000408,"$1,290.20","$1,264.14",$255.53,,,11.80%,1.1357
MID000409,"$63,120.70","$61,999.32","$13,057.47",,,14.20%,1.0814
MID000410,"$63,989.38","$62,562.13","$13,387.28",,,12.20%,1.1197
MID000411,"$59,228.95","$58,116.01","$12,538.12",,,10.20%,1.1349
MID000412,"$6,449.51","$6,324.24","$1,373.02",,,14.60%,1.0557
MID000413,"$6,572.41","$6,345.33","$1,442.73",,,13.40%,1.0899
MID000414,"$1,295,180.34","$1,268,426.57","$284,196.58",,,14.00%,1.0386
MID000415,"$51,288.61","$49,649.61","$11,249.12",,,13.80%,1.0035
MID000416,"$116,941.34","$114,686.24","$24,414.86",,,12.20%,1.1035
MID000417,"$1,303,358.21","$1,286,677.18","$268,946.00",,,11.80%,1.1280
MID000418,"$110,497.30","$108,936.12","$23,869.53",,,17.80%,0.9425
MID000419,"$64,078.59","$61,811.63","$14,018.88",,,10.60%,1.0756
MID000420,"$1,299,317.36","$1,266,278.39","$291,571.56",,,14.80%,1.0266
MID000421,"$87,835.64","$85,971.47","$18,058.15",,,15.60%,1.0431
MID000422,"$63,748.83","$62,980.66","$13,384.06",,,11.80%,1.1020
MID000423,"$13,988.90","$13,771.46","$3,026.54",,,15.80%,0.9876
MID000424,"$14,128.65","$13,832.78","$2,884.08",,,10.80%,1.0848
MID000425,"$113,514.11","$110,831.62","$22,553.42",,,12.60%,1.1313
MID000426,"$70,508.59","$68,384.62","$14,510.79",,,12.00%,1.0688
MID000427,"$113,146.02","$109,961.24","$24,819.51",,,15.40%,1.0132
MID000428,"$12,961.60","$12,477.40","$2,928.03",,,13.60%,1.0115
MID000429,"$14,162.83","$13,861.81","$3,106.04",,,13.60%,1.0183
MID000430,"$63,551.38","$61,740.45","$12,881.85",,,11.00%,1.1296
MID000431,"$63,243.83","$62,314.31","$13,324.81",,,14.20%,1.0690
MID000432,"$58,739.33","$57,670.03","$12,375.01",,,12.00%,1.1102
MID000433,"$14,009.72","$13,533.49","$2,968.88",,,14.00%,1.0138
MID000434,"$115,780.74","$112,317.35","$25,496.84",,,13.60%,1.0111
MID000435,"$103,402.67","$100,452.65","$21,769.09",,,11.80%,1.0750
MID000436,"$63,418.13","$62,525.19","$13,125.35",,,13.20%,1.0985
MID000437,"$102,327.59","$100,572.93","$21,039.26",,,15.60%,1.0612
MID000438,"$1,291,856.47","$1,264,433.25","$264,361.48",,,12.80%,1.1040
MID000439,"$51,334.87","$50,321.66","$10,514.60",,,13.60%,1.0780
MID000440,"$71,434.29","$69,836.09","$15,785.37",,,13.40%,1.0411
MID000441,"$115,124.52","$113,003.25","$24,246.51",,,10.80%,1.1187
MID000442,"$1,292,134.26","$1,260,926.43","$272,595.78",,,14.20%,1.0717
MID000443,"$103,026.23","$100,103.35","$21,565.87",,,12.80%,1.0677
MID000444,"$1,286,469.94","$1,257,812.68","$276,381.04",,,14.20%,1.0365
MID000445,"$1,301,362.69","$1,265,003.50","$280,334.94",,,11.40%,1.0750
MID000446,"$112,824.97","$110,923.64","$24,531.72",,,15.20%,1.0120
MID000447,"$1,289.47","$1,260.80",$277.84,,,15.00%,1.0419
MID000448,"$14,210.04","$13,788.56","$2,988.61",,,11.20%,1.0741
MID000449,"$58,218.55","$57,483.96","$12,661.59",,,14.80%,1.0440
MID000450,"$115,619.98","$111,936.88","$24,173.75",,,13.20%,1.0598
MID000451,"$112,807.23","$110,173.34","$25,442.28",,,16.60%,0.9750
MID000452,"$63,177.51","$62,367.17","$13,017.09",,,12.40%,1.0891
MID000453,"$125,811.06","$124,260.12","$26,200.98",,,13.60%,1.0996
MID000454,"$51,307.59","$50,349.84","$10,789.75",,,14.00%,1.0480
MID000455,"$113,216.55","$110,890.15","$22,620.26",,,11.00%,1.1148
MID000456,"$50,883.07","$50,246.76","$10,962.61",,,14.60%,0.9927
MID000457,"$115,583.46","$113,733.18","$24,065.17",,,13.80%,1.0631
MID000458,"$1,299.73","$1,259.99",$266.34,,,12.00%,1.1254
MID000459,"$103,955.36","$100,704.76","$22,993.76",,,12.40%,1.0418
MID000460,"$115,965.19","$112,935.34","$24,866.31",,,14.40%,1.0442
MID000461,"$12,901.40","$12,682.24","$2,792.17",,,13.20%,1.0391
MID000462,"$114,017.45","$112,232.21","$25,484.23",,,14.40%,1.0209
MID000463,"$51,796.65","$50,565.21","$11,364.69",,,11.40%,1.0380
MID000464,"$6,475.51","$6,327.58","$1,404.51",,,12.80%,1.0506
MID000465,"$64,275.81","$62,750.29","$13,370.88",,,12.60%,1.0677
MID000466,"$14,352.47","$14,137.16","$3,245.46",,,13.40%,1.0330
MID000467,"$123,791.05","$121,716.70","$26,945.60",,,16.00%,0.9943
MID000468,"$12,799.48","$12,501.96","$2,828.16",,,14.80%,0.9899
MID000469,"$112,892.49","$109,347.32","$23,320.10",,,12.40%,1.0674
MID000470,"$57,498.10","$56,044.09","$12,068.38",,,14.60%,1.0356
MID000471,"$112,722.70","$108,143.96","$24,075.88",,,12.60%,1.0269
MID000472,"$62,706.34","$60,744.02","$13,411.17",,,14.00%,1.0220
MID000473,"$124,419.85","$123,225.76","$27,396.76",,,15.20%,1.0008
MID000474,"$71,866.54","$70,517.78","$15,903.51",,,13.40%,1.0606
MID000475,"$6,515.27","$6,441.71","$1,392.17",,,11.20%,1.0884
MID000476,"$117,330.19","$115,697.12","$25,061.02",,,12.80%,1.0905
MID000477,"$125,150.88","$121,703.42","$25,235.40",,,10.80%,1.1155
MID000478,"$1,275.83","$1,246.91",$272.51,,,16.60%,1.0122
MID000479,"$1,296,526.87","$1,272,864.37","$271,881.83",,,13.40%,1.0906
MID000480,"$70,899.71","$70,020.55","$14,215.77",,,11.60%,1.1185
MID000481,"$1,269,941.71","$1,241,955.94","$267,228.71",,,15.20%,1.0102
MID000482,"$14,375.54","$14,196.39","$3,015.24",,,12.40%,1.1195
MID000483,"$88,405.31","$85,975.07","$18,821.89",,,12.60%,1.0310
MID000484,"$104,031.97","$100,156.99","$22,703.49",,,13.00%,1.0585
MID000485,"$58,730.71","$57,661.69","$13,140.81",,,14.20%,1.0449
MID000486,"$1,279,420.41","$1,248,807.71","$273,261.12",,,14.00%,1.0225
MID000487,"$115,065.97","$113,848.87","$23,694.59",,,13.80%,1.0579
MID000488,"$1,296.38","$1,266.57",$283.14,,,12.40%,1.0468
MID000489,"$6,450.34","$6,260.01","$1,373.17",,,12.20%,1.0562
MID000490,"$63,848.96","$62,634.29","$13,423.99",,,12.20%,1.1062
MID000491,"$70,613.95","$69,196.29","$14,624.87",,,14.80%,1.0676
MID000492,"$1,303,873.45","$1,272,854.34","$289,562.25",,,13.80%,1.0494
MID000493,"$6,496.86","$6,351.05","$1,392.82",,,12.80%,1.0747
MID000494,"$71,909.40","$70,362.65","$16,700.81",,,15.40%,1.0125
MID000495,"$1,296,614.28","$1,265,724.22","$272,678.28",,,10.60%,1.0878
MID000496,"$1,307,619.22","$1,269,932.19","$280,878.04",,,11.40%,1.0952
MID000497,"$14,315.10","$13,996.52","$3,020.18",,,12.00%,1.0977
MID000498,"$1,274,307.75","$1,244,764.05","$257,233.10",,,12.60%,1.0664
MID000499,"$6,469.07","$6,391.64","$1,303.95",,,12.00%,1.1266
MID000500,"$14,316.46","$14,266.99","$2,888.06",,,14.00%,1.1483
MID000501,"$103,547.66","$101,126.58","$23,054.88",,,13.80%,1.0214
MID000502,"$12,639.15","$12,225.90","$2,772.88",,,15.80%,0.9518
MID000503,"$64,521.70","$63,159.27","$13,237.82",,,11.00%,1.0970
MID000504,"$1,318,183.41","$1,292,121.76","$280,357.42",,,11.60%,1.1349
MID000505,"$62,890.24","$61,436.34","$13,579.09",,,13.40%,1.0229
MID000506,"$89,301.88","$86,498.66","$19,200.64",,,13.80%,1.0574
MID000507,"$113,581.72","$112,162.77","$24,607.23",,,17.20%,0.9583
MID000508,"$71,109.35","$69,142.69","$16,361.19",,,14.80%,0.9846
MID000509,"$124,285.48","$120,822.38","$26,031.87",,,14.00%,1.0482
MID000510,"$13,940.30","$13,440.96","$3,016.15",,,14.20%,0.9749
MID000511,"$14,156.76","$13,809.21","$2,903.34",,,13.00%,1.0873
MID000512,"$1,297.68","$1,267.60",$276.49,,,13.20%,1.0767
MID000513,"$64,529.60","$63,383.61","$13,893.08",,,13.80%,1.0458
MID000514,"$115,175.26","$111,680.02","$23,237.79",,,12.80%,1.0834
MID000515,"$113,197.71","$111,207.62","$23,488.84",,,17.80%,0.9876
MID000516,"$1,262,717.53","$1,229,239.05","$271,454.79",,,14.80%,0.9678
MID000517,"$63,448.50","$62,196.29","$13,893.93",,,14.40%,1.0399
MID000518,"$1,304,794.36","$1,267,502.39","$269,824.46",,,11.40%,1.1296
MID000519,"$1,298,388.50","$1,278,235.25","$285,154.37",,,14.00%,1.0464
MID000520,"$14,120.51","$13,808.57","$3,052.71",,,14.80%,1.0222
MID000521,"$116,364.96","$112,540.76","$24,980.92",,,12.00%,1.0554
MID000522,"$1,293,199.25","$1,262,377.17","$273,253.51",,,11.60%,1.0730
MID000523,"$64,347.24","$62,803.36","$13,766.16",,,12.80%,1.0422
MID000524,"$113,949.23","$111,280.51","$24,984.53",,,15.40%,1.0386
MID000525,"$1,316,857.26","$1,281,752.50","$302,621.72",,,11.80%,1.0470
MID000526,"$1,305,997.76","$1,275,204.06","$284,863.60",,,12.80%,1.0742
MID000527,"$70,505.52","$69,732.50","$14,738.80",,,14.20%,1.0520
MID000528,"$6,525.34","$6,361.08","$1,402.95",,,11.80%,1.0872
MID000529,"$64,450.15","$62,572.97","$13,817.86",,,13.40%,1.0458
MID000530,"$114,610.81","$112,373.77","$23,501.28",,,13.80%,1.0472
MID000531,"$64,387.03","$63,044.03","$13,964.17",,,15.20%,1.0303
MID000532,"$12,746.16","$12,590.42","$2,662.43",,,14.60%,1.0314
MID000533,"$101,838.96","$100,067.92","$22,235.50",,,16.00%,0.9822
MID000534,"$126,293.91","$121,618.18","$28,985.99",,,14.20%,1.0106
MID000535,"$13,149.56","$12,872.76","$2,856.04",,,11.40%,1.1028
MID000536,"$103,477.25","$100,118.19","$21,912.88",,,12.20%,1.0714
MID000537,"$70,696.25","$70,199.57","$14,484.60",,,13.00%,1.0837
MID000538,"$6,429.02","$6,276.89","$1,355.50",,,15.20%,1.0542
MID000539,"$64,951.04","$63,379.75","$14,683.48",,,12.80%,1.0182
MID000540,"$65,224.74","$64,211.86","$13,011.41",,,12.80%,1.1701
MID000541,"$88,271.77","$86,654.38","$18,586.57",,,13.80%,1.0369
MID000542,"$63,409.28","$62,108.82","$13,510.96",,,13.20%,1.0665
MID000543,"$126,665.72","$124,165.34","$28,790.59",,,13.80%,1.0304
MID000544,"$113,577.45","$110,706.81","$24,235.02",,,15.00%,1.0554
MID000545,"$127,482.40","$123,749.29","$27,465.68",,,10.00%,1.1098
MID000546,"$12,953.28","$12,534.78","$2,762.93",,,13.80%,1.0689
MID000547,"$12,896.27","$12,607.24","$2,690.16",,,12.00%,1.0766
MID000548,"$1,285,150.26","$1,241,301.01","$276,164.95",,,14.00%,1.0325
MID000549,"$115,334.26","$112,282.59","$25,582.23",,,14.60%,0.9903
MID000550,"$50,940.48","$49,597.64","$10,892.31",,,15.00%,1.0044
MID000551,"$1,269,349.65","$1,245,892.13","$265,753.12",,,14.60%,1.0135
MID000552,"$1,280.73","$1,242.67",$279.95,,,14.40%,1.0028
MID000553,"$114,168.81","$110,138.81","$24,331.70",,,11.80%,1.0755
MID000554,"$89,687.78","$88,304.06","$19,682.45",,,14.40%,1.0511
MID000555,"$103,653.62","$101,081.41","$20,747.64",,,12.00%,1.1401
MID000556,"$13,132.23","$12,825.22","$2,661.62",,,10.80%,1.1768
MID000557,"$63,776.80","$62,040.84","$13,995.79",,,12.80%,1.0558
MID000558,"$124,350.49","$121,715.75","$27,228.77",,,13.60%,1.0045
MID000559,"$125,715.41","$121,889.69","$28,963.28",,,13.60%,0.9914
MID000560,"$63,564.11","$62,034.65","$13,043.91",,,11.60%,1.1165
MID000561,"$1,267,415.94","$1,235,562.82","$267,856.48",,,14.00%,0.9984
MID000562,"$90,205.57","$87,192.42","$19,413.15",,,12.40%,1.0923
MID000563,"$1,289.81","$1,257.71",$268.92,,,13.80%,1.0777
MID000564,"$115,360.13","$111,999.94","$25,040.11",,,16.00%,1.0128
MID000565,"$110,786.87","$108,394.46","$21,966.31",,,15.00%,1.0374
MID000566,"$113,261.59","$110,970.90","$24,134.25",,,12.80%,1.0467
MID000567,"$51,507.76","$50,146.40","$11,114.56",,,13.80%,1.0354
MID000568,"$64,528.83","$63,464.85","$14,179.28",,,14.60%,1.0247
MID000569,"$104,393.17","$102,914.05","$21,118.36",,,11.20%,1.1551
MID000570,"$70,977.29","$69,712.46","$14,291.43",,,11.00%,1.1180
MID000571,"$14,500.68","$14,185.38","$3,012.04",,,11.80%,1.1622
MID000572,"$65,714.36","$64,272.78","$14,404.89",,,13.60%,1.0909
MID000573,"$6,480.47","$6,309.24","$1,418.57",,,12.80%,1.0436
MID000574,"$102,740.97","$100,746.73","$21,678.71",,,13.20%,1.0490
MID000575,"$113,404.27","$112,164.12","$23,630.64",,,13.20%,1.0751
MID000576,"$89,948.16","$88,023.09","$18,463.95",,,10.40%,1.1345
MID000577,"$89,688.34","$87,521.71","$19,276.95",,,12.80%,1.0732
MID000578,"$89,469.40","$89,128.92","$17,915.22",,,14.20%,1.1426
MID000579,"$6,553.88","$6,464.27","$1,372.73",,,11.00%,1.1320
MID000580,"$1,288,315.24","$1,257,988.11","$271,166.73",,,14.00%,1.0632
MID000581,"$51,663.38","$51,093.93","$10,724.57",,,12.40%,1.0875
MID000582,"$116,455.22","$112,796.64","$25,481.37",,,12.80%,1.0382
MID000583,"$58,460.66","$57,321.34","$12,018.61",,,12.20%,1.1200
MID000584,"$14,224.00","$13,940.87","$2,952.37",,,11.00%,1.0920
MID000585,"$1,278,120.70","$1,242,354.83","$262,884.51",,,13.20%,1.0580
MID000586,"$1,278,923.10","$1,251,935.27","$270,680.60",,,15.80%,1.0305
MID000587,"$1,274.82","$1,241.39",$283.04,,,15.60%,0.9709
MID000588,"$61,992.27","$60,476.93","$13,574.67",,,15.20%,0.9571
MID000589,"$6,486.69","$6,337.34","$1,448.22",,,14.40%,1.0266
MID000590,"$6,494.74","$6,310.53","$1,436.69",,,11.80%,1.0404
MID000591,"$57,760.77","$56,234.17","$12,059.62",,,14.20%,1.0581
MID000592,"$51,462.79","$49,559.60","$11,734.98",,,14.20%,0.9768
MID000593,"$1,259,593.74","$1,214,649.03","$270,457.70",,,13.40%,0.9598
MID000594,"$104,115.20","$101,608.13","$22,117.67",,,11.80%,1.0903
MID000595,"$119,224.35","$117,259.26","$25,550.02",,,11.00%,1.1438
MID000596,"$1,259,794.23","$1,241,790.58","$278,249.56",,,17.80%,0.9337
MID000597,"$12,871.41","$12,635.58","$2,670.79",,,13.40%,1.0751
MID000598,"$1,298.83","$1,283.30",$284.04,,,14.20%,1.0521
MID000599,"$12,899.52","$12,672.76","$2,580.88",,,12.20%,1.1235
MID000600,"$1,284.69","$1,252.62",$265.47,,,12.80%,1.0724
MID000601,"$103,053.42","$99,813.33","$20,897.24",,,10.80%,1.1032
MID000602,"$58,727.01","$57,002.03","$13,080.04",,,12.80%,1.0495
MID000603,"$14,200.81","$13,573.61","$3,167.70",,,14.00%,1.0105
MID000604,"$63,194.81","$61,684.55","$13,098.39",,,11.20%,1.0837
MID000605,"$6,393.49","$6,274.09","$1,390.98",,,16.60%,1.0018
MID000606,"$64,158.32","$62,207.65","$13,216.39",,,11.40%,1.0713
MID000607,"$104,609.68","$102,320.86","$22,044.43",,,10.80%,1.1164
MID000608,"$71,074.03","$69,722.50","$14,165.45",,,11.60%,1.1347
MID000609,"$72,712.82","$70,543.10","$15,434.50",,,9.60%,1.1476
MID000610,"$58,056.50","$57,122.66","$12,529.22",,,15.80%,1.0421
MID000611,"$71,751.52","$70,747.92","$14,726.97",,,12.40%,1.1375
MID000612,"$1,298.34","$1,258.03",$295.30,,,13.20%,1.0103
MID000613,"$113,961.38","$111,708.71","$23,091.45",,,15.20%,1.0377
MID000614,"$6,407.80","$6,269.78","$1,318.90",,,13.20%,1.0674
MID000615,"$1,301,062.75","$1,274,541.33","$281,917.10",,,12.60%,1.0679
MID000616,"$1,304.45","$1,298.88",$277.00,,,14.00%,1.0991
MID000617,"$1,286.14","$1,259.60",$281.94,,,15.60%,1.0149
MID000618,"$57,001.51","$55,470.00","$11,610.10",,,13.40%,1.0337
MID000619,"$1,271,406.35","$1,245,153.68","$264,611.00",,,15.00%,1.0257
MID000620,"$104,441.25","$102,340.64","$22,277.18",,,13.80%,1.0971
MID000621,"$102,085.90","$99,912.38","$22,783.15",,,14.60%,0.9694
MID000622,"$69,465.88","$69,086.18","$14,903.61",,,16.60%,0.9706
MID000623,"$57,455.83","$56,390.19","$11,782.58",,,14.80%,1.0571
MID000624,"$57,618.10","$56,331.64","$12,184.42",,,11.60%,1.0356
MID000625,"$87,835.71","$86,211.18","$17,722.28",,,13.60%,1.0628
MID000626,"$116,673.00","$115,223.90","$24,506.00",,,12.20%,1.0884
MID000627,"$12,787.34","$12,457.11","$2,633.04",,,12.20%,1.0586
MID000628,"$12,984.05","$12,747.10","$2,763.36",,,12.80%,1.0799
MID000629,"$51,317.89","$50,416.28","$11,343.96",,,16.80%,0.9977
MID000630,"$1,310,123.75","$1,255,722.16","$288,570.51",,,11.20%,1.0747
MID000631,"$62,438.97","$60,681.51","$13,684.36",,,15.40%,0.9821
MID000632,"$1,278.90","$1,270.58",$254.06,,,14.60%,1.0978
MID000633,"$58,050.09","$56,093.71","$13,301.92",,,15.20%,0.9811
MID000634,"$1,292,551.15","$1,278,882.07","$276,362.50",,,16.00%,1.0586
MID000635,"$115,516.56","$113,163.78","$24,813.88",,,15.00%,1.0283
MID000636,"$1,312,214.94","$1,271,227.87","$266,964.72",,,10.40%,1.1695
MID000637,"$62,773.99","$61,713.97","$14,502.86",,,17.00%,0.9497
MID000638,"$124,952.94","$122,371.47","$26,503.29",,,13.20%,1.0547
MID000639,"$6,510.43","$6,437.63","$1,324.97",,,12.80%,1.1400
MID000640,"$63,096.39","$61,552.43","$13,675.35",,,14.80%,1.0308
MID000641,"$1,293,350.80","$1,257,502.19","$281,289.71",,,13.20%,1.0429
MID000642,"$1,294.24","$1,264.80",$282.02,,,13.80%,1.0433
MID000643,"$51,643.88","$50,962.89","$10,304.72",,,12.40%,1.1300
MID000644,"$14,488.13","$14,152.40","$3,119.87",,,11.20%,1.1180
MID000645,"$14,081.21","$13,729.09","$3,064.87",,,15.40%,1.0053
MID000646,"$1,294,345.87","$1,256,655.80","$285,265.87",,,13.20%,1.0318
MID000647,"$1,299.48","$1,270.57",$282.48,,,14.20%,1.0602
MID000648,"$52,105.95","$50,805.99","$11,342.77",,,13.40%,1.0673
MID000649,"$126,044.82","$123,711.74","$26,509.26",,,16.00%,1.0956
MID000650,"$89,463.98","$87,116.97","$19,081.69",,,13.20%,1.0724
MID000651,"$6,571.76","$6,410.83","$1,420.52",,,10.80%,1.1065
MID000652,"$58,449.05","$56,795.49","$12,895.90",,,13.00%,1.0429
MID000653,"$1,280,109.60","$1,256,369.59","$252,781.47",,,11.80%,1.1081
MID000654,"$6,548.23","$6,398.19","$1,449.91",,,13.80%,1.0678
MID000655,"$1,288,787.28","$1,283,143.71","$284,204.27",,,15.40%,1.0161
MID000656,"$123,438.98","$121,644.56","$26,643.47",,,16.40%,0.9923
MID000657,"$125,166.59","$123,428.29","$25,883.36",,,12.20%,1.0882
MID000658,"$52,145.99","$51,341.45","$10,827.98",,,12.20%,1.1217
MID000659,"$52,153.09","$50,281.40","$11,499.89",,,12.40%,1.0568
MID000660,"$113,291.72","$111,453.96","$23,166.62",,,11.60%,1.0917
MID000661,"$12,777.37","$12,486.95","$2,622.08",,,12.40%,1.0592
MID000662,"$63,764.18","$62,517.27","$13,263.88",,,14.80%,1.0377
MID000663,"$89,417.84","$87,671.32","$18,482.56",,,14.00%,1.1047
MID000664,"$1,274.88","$1,251.16",$279.26,,,14.80%,0.9843
MID000665,"$1,274,956.93","$1,232,190.99","$285,532.44",,,16.00%,0.9630
MID000666,"$64,098.40","$62,930.23","$13,441.83",,,15.60%,1.0488
MID000667,"$1,267,645.21","$1,256,127.97","$264,614.78",,,14.00%,1.0115
MID000668,"$113,862.67","$111,812.23","$23,538.24",,,13.00%,1.0988
MID000669,"$1,277,028.35","$1,238,615.06","$279,145.42",,,14.40%,0.9924
MID000670,"$1,302,381.24","$1,272,422.38","$282,824.27",,,12.60%,1.0691
MID000671,"$12,920.72","$12,680.42","$2,734.19",,,12.60%,1.0682
MID000672,"$89,833.37","$87,598.31","$19,254.22",,,10.20%,1.0820
MID000673,"$14,136.21","$13,839.13","$3,085.63",,,14.40%,1.0164
MID000674,"$104,609.27","$102,472.74","$22,705.18",,,12.80%,1.0839
MID000675,"$70,591.93","$69,742.54","$14,811.12",,,13.60%,1.0527
MID000676,"$12,846.73","$12,372.15","$2,878.89",,,11.60%,0.9888
MID000677,"$12,930.94","$12,616.09","$2,787.50",,,13.80%,1.0515
MID000678,"$62,902.60","$61,889.37","$13,006.28",,,13.40%,1.0689
MID000679,"$64,415.69","$62,706.92","$13,160.99",,,12.00%,1.0953
MID000680,"$111,991.84","$109,056.93","$23,772.38",,,14.80%,1.0092
MID000681,"$12,891.70","$12,501.89","$2,942.06",,,15.00%,0.9829
MID000682,"$104,135.97","$100,728.39","$22,629.18",,,11.60%,1.0666
MID000683,"$126,265.16","$123,765.19","$25,112.47",,,10.80%,1.1654
